paper,wave,book,module,concept,canonical_name,raw_name,unit,coding,missing_rule,question_or_label,source_codebook,source_page,availability_status,merge_role,verified_by,date_verified,notes
R1,1,K,bukkar2,child roster,person_key,pidlink,person ID,constant panel identifier,retain raw missing,person tracking identifier,local DTA labels,not_pageed,verified,shared spine,Stata audit,2026-09-05,raw roster source
R1,1,K,bukkar2,parent link,father_parent_reference,ar10,within-household PID,raw code with special statuses,retain special codes,"father PID reference",local DTA labels,not_pageed,verified,relation spine,Stata audit,2026-09-05,not yet a treatment variable
R1,1,K,bukkar2,parent link,mother_parent_reference,ar11,within-household PID,raw code with special statuses,retain special codes,"mother PID reference",local DTA labels,not_pageed,verified,relation spine,Stata audit,2026-09-05,not yet a treatment variable
R1,1,MG,buk3mg1,migration screen,parent_migration_screen,mg20,person response,raw wave-specific code,retain raw code,"migration screen",local DTA labels,not_pageed,verified,raw evidence,Stata audit,2026-09-05,W1 source
R1,1,MG,buk3mg1,migration timing,parent_migration_since_age12,mg2100,age or timing response,raw wave-specific code,retain raw code,"migration since age 12",local DTA labels,not_pageed,verified,raw evidence,Stata audit,2026-09-05,W1 source
R1,1,MG,buk3mg2,migration episode,parent_migration_event,mg28;mg21d2;mg24yr;mg25;mg34,episode record,raw event and status codes,retain raw codes,"work reason and move details",local DTA labels,not_pageed,verified,raw evidence,Stata audit,2026-09-05,W1 has no direct country field in this audit
R1,1,K,bukkar2,baseline sex,child_female,w1_sex_spine from AR07,binary indicator,1=female derived only from AR07==3,retain raw and invalid flags,"W1 sex",DRU1195.4.Book1.pdf,not_pageed,verified,baseline control,Stata audit,2026-09-05,AR07 1=male 3=female
R1,1,K,bukkar2,baseline education,w1_education_level_raw,ar16,education category,codebook categories retained raw,retain special codes,"highest education level",DRU1195.4.Book1.pdf,not_pageed,verified,baseline control,Stata audit,2026-09-05,not converted to years
R1,1,K,bukkar2,baseline grade,w1_grade_completed_raw,ar17,grade category,raw 1-7 with special codes retained,retain special codes,"highest grade completed",DRU1195.4.Book1.pdf,not_pageed,verified,baseline supplementary,Stata audit,2026-09-05,grade semantics caveat retained
R1,1,K,bukkar2,baseline school,w1_current_school,ar18,binary response,1=yes 3=no; special codes invalid,retain special codes,"currently attending school",DRU1195.4.Book1.pdf,not_pageed,verified,baseline control candidate,Stata audit,2026-09-05,age-applicable response
R1,1,K,bukkar2,baseline activity,w1_primary_activity_raw,ar22,activity category,1 working 2 job search 3 school 4 housekeeping 5 retired 6 other,retain special codes,"primary activity",DRU1195.4.Book1.pdf,not_pageed,verified,baseline descriptive,Stata audit,2026-09-05,age-applicable response
R1,1,K,bukkar2,baseline household size,w1_hh_size,present W1 roster rows,person count,count present roster persons by valid W1 HHID,retain missing flags,"W1 household roster size",local spine construction,not_pageed,verified,baseline control,Stata audit,2026-09-05,derived from observed roster
R1,1,K,bukkar2,baseline parent age,mother_father_age,mother_pidlink;father_pidlink;person_spine age,years,linked parent age only after explicit within-HH parent link,retain link failure flags,"W1 parent age",local spine construction,not_pageed,verified,baseline control,Stata audit,2026-09-05,both parent ages used in core model
R1,2,MG,b3a_mg1,migration screen,parent_migration_screen,mg20b,person response,raw wave-specific code,retain raw code,"migration screen",local DTA labels,not_pageed,verified,raw evidence,Stata audit,2026-09-05,W2 source
R1,2,MG,b3a_mg1,migration timing,parent_migration_since_age12,mg21n,age or timing response,raw wave-specific code,retain raw code,"migration since age 12",local DTA labels,not_pageed,verified,raw evidence,Stata audit,2026-09-05,W2 source
R1,2,MG,b3a_mg2,migration episode,parent_migration_event,mg28;mg21e;mg24yr;mg25;mg34;mg40,episode record,raw event and status codes,retain raw codes,"work reason country timing and residence check",local DTA labels,not_pageed,verified,raw evidence,Stata audit,2026-09-05,W2 detail file copied from local original archive with identical hash
R1,3,MG,b3a_mg1,migration timing,parent_migration_since_age12,mg20c,age or timing response,raw wave-specific code,retain raw code,"migration since age 12",local DTA labels,not_pageed,verified,raw evidence,Stata audit,2026-09-05,W3 source
R1,3,MG,b3a_mg2,migration episode,parent_migration_event,mg28;mg21e;mg24yr;mg25;mg34,episode record,raw event and status codes,retain raw codes,"work reason country timing and household move",local DTA labels,not_pageed,verified,raw evidence,Stata audit,2026-09-05,raw evidence only
R1,4,MG,b3a_mg1,migration timing,parent_migration_since_age12,mg20c,age or timing response,raw wave-specific code,retain raw code,"migration since age 12",local DTA labels,not_pageed,verified,raw evidence,Stata audit,2026-09-05,W4 source
R1,4,MG,b3a_mg2,migration episode,parent_migration_event,mg28;mg21e;mg24yr;mg25;mg34,episode record,raw event and status codes,retain raw codes,"work reason country timing and household move",local DTA labels,not_pageed,verified,raw evidence,Stata audit,2026-09-05,raw evidence only
R1,5,MG,b3a_mg1,migration timing,parent_migration_since_age12,mg20c,age or timing response,raw wave-specific code,retain raw code,"migration since age 12",local DTA labels,not_pageed,verified,raw evidence,Stata audit,2026-09-05,W5 source
R1,5,MG,b3a_mg2,migration episode,parent_migration_event,mg28;mg21e;mg24yr;mg25;mg34,episode record,raw event and status codes,retain raw codes,"work reason country timing and household move",local DTA labels,not_pageed,verified,raw evidence,Stata audit,2026-09-05,raw evidence only
R3,2,TK,b3a_tk1,child work screen,child_work_screen,tk01;tk02;tk03;tk04,person response,1=work or yes; 3=no; special values retained,screen activity and economic-work follow-ups,local DTA labels,not_pageed,verified,screen support,Stata audit,2026-09-05,primary market screen uses tk01==1 or tk02==1 or tk04==1; tk03 alone is not market work
R3,2,TK,b3a_tk2,child work hours,child_work_hours_last_week,tk21a;tk21b;tk21ax;tk21bx;tk27,hours per last week,only status 1 and numeric 0-168; tk27==3 permits zero job-2 component,sums job 1 and job 2 last-week hours,local DTA labels,not_pageed,verified,hours support,Stata audit,2026-09-05,W2 detailed module locally available; >43 is primary age-15 threshold
R3,2,TK,b3a_tk2,child work regular hours,child_work_hours_normal_week,tk22a;tk22b,hours per normal week,raw numeric with special values flagged,do not recode before lock,"primary and side job normal weekly hours",local DTA labels,not_pageed,verified,hours support,Stata audit,2026-09-05,not final treatment
R3,2,TK,b3a_tk2,child work duration,child_work_weeks_last_year,tk23a;tk23b,weeks per year,raw numeric with special values flagged,do not recode before lock,"primary and side job weeks worked last year",local DTA labels,not_pageed,verified,duration support,Stata audit,2026-09-05,not final treatment
R3,2,TK,b3a_tk2,hazard evidence,job_industry_occupation,tk20aind;tk20aocc,job record,industry label and occupation code,retain raw fields,"ISIC industry and occupation",local DTA labels,not_pageed,verified,hazard candidate,Stata audit,2026-09-05,authoritative hazardous-work mapping still absent
R3,3,TK,b3a_tk1,child work screen,child_work_screen,tk01;tk02;tk03;tk04,person response,1=work or yes; 3=no; special values retained,screen activity and economic-work follow-ups,local DTA labels,not_pageed,verified,screen support,Stata audit,2026-09-05,primary numeric rule matches W2 structure; W3 local DTA has no value labels and this remains a limitation
R3,3,TK,b3a_tk2,child work hours,child_work_hours_last_week,tk21a;tk21b;tk21ax;tk21bx;tk27,hours per last week,only status 1 and numeric 0-168; tk27==3 permits zero job-2 component,sums job 1 and job 2 last-week hours,local DTA labels,not_pageed,verified,hours support,Stata audit,2026-09-05,W3 detailed module available; >43 is primary age-15 threshold; age support is thin
R3,3,TK,b3a_tk2,child work regular hours,child_work_hours_normal_week,tk22a;tk22b,hours per normal week,raw numeric with special values flagged,do not recode before lock,"job 1 and job 2 normal weekly hours",local DTA labels,not_pageed,verified,hours support,Stata audit,2026-09-05,not final treatment
R3,3,TK,b3a_tk2,child work duration,child_work_weeks_last_year,tk23a;tk23b,weeks per year,raw numeric with special values flagged,do not recode before lock,"job 1 and job 2 weeks worked per year",local DTA labels,not_pageed,verified,duration support,Stata audit,2026-09-05,not final treatment
R3,3,TK,b3a_tk2,hazard evidence,job_field_and_duties,tk19aa;tk20a,job record,field code and duty text,retain raw fields,"field of work and main duties",local DTA labels,not_pageed,verified,hazard candidate,Stata audit,2026-09-05,not directly equivalent to W2 coded occupation
R3,1,AW,buk3aw1,housework,individual_housework_screen,aw2_e,person response,raw activity code,retain raw code,"housework in past 7 days",local DTA labels,not_pageed,verified,chores candidate,Stata audit,2026-09-05,screen only
R3,1,AW,buk3aw1,housework time,individual_housework_time,aw3_e,time response,unit not yet locked,retain raw code,"time spent on housework in past 7 days",local DTA labels,not_pageed,candidate_unit_review,chores candidate,Stata audit,2026-09-05,unit and valid codes require owner review
R3,2,NA,not located,housework hours,individual_housework_hours,__none_exact__,hours per week,not located,not applicable,no exact comparable variable found,local inventory,not_pageed,not_located,chores candidate,Stata audit,2026-09-05,do not substitute household transfer fields
