date,paper,decision_id,topic,decision,alternative_rejected,reason,evidence_path,n_affected,status,locked_before_outcome,owner
2026-09-04,ALL,D-001,first_pass_scope,"Current first-pass release is Paper 1 and Paper 3; Paper 2 is later feasibility","Run all three papers in the first pass","Supplied timeline explicitly sequences Paper 1 then Paper 3 and parks Paper 2","Timeline_Riset1_Riset3.docx",,locked,yes,project_owner
2026-09-04,ALL,D-002,raw_boundary,"Original IFLS materials under IFLS/ remain unchanged; working extractions/pointers live under 00_raw/","Edit or overwrite source archives","Preserve reproducibility and source provenance","00_raw/README.md",,locked,yes,analyst
2026-09-04,ALL,D-003,stata_environment,"Stata 16.1 console executable detected; edition label requires reconciliation with About output","Assume a different Stata version or edition","Environment probe is the only current software evidence","99_docs/software_environment.txt",,open_pending_evidence,yes,project_owner
2026-09-05,R1,D-010,treatment_tier,"Primary is mother-led international work migration with verified work reason and verified destination outside Indonesia; domestic, any-parent, and unresolved episodes are supplementary or excluded","Use a broader any-parent or domestic treatment as primary","A country or episode that is not verified must not be converted into an international treatment","99_docs/decision_defaults_2026-09-05.md",,locked_conservative_default,yes,project_owner
2026-09-05,R1,D-011,primary_cohort,"Primary is W1-only; W2 is a separate supplementary/replication cohort and is never silently pooled","Pool W1 and W2 after inspecting support","W1 supplies the earliest baseline and longest follow-up","99_docs/decision_defaults_2026-09-05.md",,locked_conservative_default,yes,project_owner
2026-09-05,R1,D-012,baseline_treatment_contamination,"Primary requires both parents linked/present and no evidence of baseline left-censoring; one-parent, known nonresident/dead, no-link, unknown, and ambiguous cases are sensitivity only","Treat every W1 parent status as pre-treatment","Baseline covariates cannot be called pre-treatment when exposure may predate observation","99_docs/decision_defaults_2026-09-05.md",,locked_conservative_default,yes,project_owner
2026-09-05,R3,D-020,primary_cohort_age,"Primary is W2/W3 age 15 only; age 10-11 and 12-14 are descriptive/feasibility; W2 and W3 are reported separately or with an explicit wave indicator","Retain age 10-14 as inferential primary despite near-zero hours support","Hours-module support is 0/5 for W2 and 0/1 for W3 in the proposed younger bands","99_docs/decision_defaults_2026-09-05.md",,locked_conservative_default,yes,project_owner
2026-09-05,R3,D-021,chores_scope,"Chores are omitted from the primary and the paper is reframed as paid/market child labor; W1 chores may be exploratory only","Keep a gender/domestic-work claim without comparable hours","W2/W3 do not provide an exact individual weekly housework-hour measure","99_docs/decision_defaults_2026-09-05.md",,locked_conservative_default,yes,project_owner
2026-09-05,R3,D-022,child_labor_hours,"Primary uses codebook-valid last-week total hours from job 1 plus job 2, bounded 0-168, with age-15 threshold greater than 43; primary-job-only and normal-week rules are sensitivity only","Treat candidate threshold counts or special codes as final treatment","The detailed modules have sparse younger-age support and special numeric/status codes","99_docs/decision_defaults_2026-09-05.md",,locked_conservative_default,yes,project_owner
2026-09-05,R3,D-023,hazardous_work,"Hazardous work is omitted from primary; raw occupation/industry evidence is retained for a future versioned authoritative mapping","Infer hazard from unverified occupation text or broad industry codes","No authoritative mapping is present in the local project","99_docs/decision_defaults_2026-09-05.md",,locked_conservative_default,yes,project_owner
