paper,reviewer_question,threat,diagnostic_or_analysis,required_output,current_evidence,remaining_gap,claim_limit,status
R1,Apakah treatment benar-benar mother-led international work migration?,misclassification of exposure,locked treatment construction plus migration event and country audit,transparent treatment rule and status counts,02_derived/r1_mother_international_treatment.dta; 04_output/diagnostics/r1_migration_event_evidence.csv; 04_output/diagnostics/r1_treatment_status_summary.csv,official release metadata and unresolved exposure cases remain open,Describe verified association only; do not call treatment causal,pass_with_limits
R1,Apakah baseline parents and origin household are valid?,left-censoring and baseline contamination,baseline parent-status and origin-household audit,baseline eligibility flow and exclusion counts,04_output/diagnostics/r1_baseline_parent_status.csv; 04_output/diagnostics/r1_treatment_sample_flow.csv; 04_output/diagnostics/analysis_sample_flow.csv,possible residual roster or lineage ambiguity remains,Do not generalize beyond locked W1 eligible frame,pass_with_limits
R1,Apakah jumlah treated cukup untuk inferensi?,small treated cell and influential observations,outcome-specific sample and treated-count audit,report treated count and outcome-specific N for every result,05_submission/tables/all_adjusted_primary_results.csv; 04_output/diagnostics/analysis_sample_flow.csv,25 treated in common frame and 19-23 in most estimable outcomes,No strong causal or population-level conclusion; profit with 4 treated is withheld,pass_with_limits
R1,Apakah hasil tahan terhadap banyak outcome?,multiple testing,predeclared BH within paper-by-family,full result table with q-values and no significance-only table,05_submission/tables/all_adjusted_primary_results.csv; 05_submission/tables/headline_adjusted_results.csv,other multiplicity conventions are not a substitute for preregistration,Call q<0.05 a first-pass family-level signal only,pass_with_limits
R1,Apakah outcome adult sudah comparable and valid?,outcome measurement and selective missingness,W5 outcome validity and outcome-support audit,variable-level valid-code rules and outcome-specific N,99_docs/w5_outcome_definition.md; 04_output/diagnostics/w5_outcome_validity_audit.csv; 04_output/diagnostics/analysis_outcome_support.csv,W5 follow-up and item missingness may select analytic samples,Do not claim a validated IMDI or CES-D-10 result,pass_with_limits
R1,Apakah desain survey sudah dipakai dengan benar?,unsupported weights or PSU,weight and survey-design audit,explicit weight and clustering rule plus parked sensitivity,04_output/diagnostics/survey_weight_variable_audit.csv; 99_docs/survey_design_decision.md,official design/weight mapping is not yet closed,Results are unweighted household-clustered associations,pass_with_limits
R3,Apakah child-labor treatment valid and reproducible?,work-screen and hours misclassification,age and work-screen/hour construction audit,codebook rule, age restriction, and unresolved statuses,02_derived/r3_child_labor_treatment.dta; 04_output/diagnostics/r3_treatment_prevalence_by_wave_age.csv; 04_output/diagnostics/r3_age_profile_support.csv,limited W3 value-label support and unresolved screens remain,Do not claim all forms of child labor or hazardous work,pass_with_limits
R3,Apakah usia 15 dipilih karena data atau hasil?,age-band support and specification search,cohort-age and treatment-prevalence audit,predeclared age-15 primary with younger bands descriptive only,99_docs/r3_treatment_definition.md; 04_output/diagnostics/r3_treatment_prevalence_by_wave_age.csv,age 10-14 treatment evidence is too sparse/unresolved for inference,Do not promote younger age bands to primary inference,pass_with_limits
R3,Apakah W2 and W3 dapat digabung?,wave heterogeneity and household clustering,person-wave construction with wave indicator and treatment-wave household cluster,report wave rule and cluster rule,02_derived/r3_analysis_base.dta; 99_docs/primary_specification_lock.md,standalone wave sensitivity is not yet a publication result,Interpret pooled coefficient as conditional association with a wave adjustment,pass_with_limits
R3,Apakah attrition to W5 bias hasil?,selective follow-up and outcome missingness,W5 linkage and analysis sample flow,report frame and outcome-specific N plus limitation,04_output/diagnostics/analysis_sample_flow.csv; 04_output/diagnostics/w5_outcome_merge_audit.csv,attrition correction and inverse-probability sensitivity are parked,Do not interpret as population-average adult effect,parked
R3,Apakah hasil earnings bisa dijadikan kerugian nasional/NPV?,monetary extrapolation and cross-wave comparability,PCE and NPV provenance audit,parked monetary module with explicit no-claim rule,04_output/diagnostics/pce_monetary_gap.csv; 99_docs/pce_provenance_audit.md,price index, reference period, and extrapolation are not closed,No NPV, national loss, or policy-cost figure is reported,parked
ALL,Apakah output dapat direproduksi tanpa raw-data redistribution?,provenance and restricted microdata,local source manifest/hash and canonical Stata chain,reproducibility README, source manifest, logs, diagnostics,99_docs/source_manifest.csv; 99_docs/README_reproducibility.md; dofiles/00_master.do,official release identifier and authorized-data instructions must be completed before public release,Share code and aggregate outputs only; do not share raw IFLS files,pass_with_limits
