cohort_definition,treatment_wave,treatment_age_low,treatment_age_high,outcome_wave,outcome_age_low,outcome_age_high,eligible_for_primary,reason,source_or_calculation
R3_W1_EXTENSION,1,10,11,4,17,21,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,10,11,4,22,25,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,10,11,4,26,29,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,10,11,4,30,33,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,10,11,4,34,36,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,10,11,5,17,21,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,10,11,5,22,25,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,10,11,5,26,29,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,10,11,5,30,33,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
R3_W1_EXTENSION,1,10,11,5,34,36,not_supported_by_current_frame,no observed treatment-age or linked outcome-age support in current spine/module frame,PTRACK14 age_at_interview + verified b3a_tk1.dta (W3) + person_spine outcome age; detailed-hours linkage audited separately in 19_r3_treatment_constructability_audit.do
